mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.8995710372924806,0.12281968658045805,0.12022151947021484,0.010535833496240536,,10,sqrt,5,689,"{'model__class_weight': None, 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__n_estimators': 689}",0.6921927393386571,0.6265617171384452,0.6639295567537077,0.6793734605369368,0.6695202873656512,0.6663155522266796,0.02207472984295806,9,0.8098703218813403,0.8181212488025318,0.8138804727355953,0.810326105923106,0.8112349461532818,0.8126866190991711,0.003051930318117314
0.8658345222473145,0.058191522814390925,0.06726112365722656,0.01497610863502235,,6,sqrt,28,334,"{'model__class_weight': None, 'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 28, 'model__n_estimators': 334}",0.6937882692774167,0.6264762671824217,0.6536205588300612,0.6726265881614614,0.6603119213605582,0.6613647209623837,0.02216484053376783,27,0.6899194748887624,0.7056669397441993,0.6959123748017728,0.6910725993240762,0.7005264361289187,0.6966195649775458,0.005886914055173615
0.6619990825653076,0.10918763548419134,0.06985964775085449,0.013221816454904103,balanced,16,log2,33,247,"{'model__class_weight': 'balanced', 'model__max_depth': 16, 'model__max_features': 'log2', 'model__min_samples_leaf': 33, 'model__n_estimators': 247}",0.6928507400219817,0.6308079417831567,0.6609906037593458,0.6725253569843507,0.6619762383558435,0.6638301761809358,0.02009859456019212,19,0.6998059079299451,0.7152164266026337,0.7075876200704141,0.7042031167053733,0.7097597079069862,0.7073145558430705,0.005187557058570872
2.111091947555542,0.0760204024434774,0.12256097793579102,0.020123829441904887,,24,0.3,22,746,"{'model__class_weight': None, 'model__max_depth': 24, 'model__max_features': 0.3, 'model__min_samples_leaf': 22, 'model__n_estimators': 746}",0.691538900030194,0.6297298085733342,0.6576184750993201,0.6773194897597334,0.663516996175109,0.6639447339275382,0.020742168275337147,17,0.7334078053363853,0.7427746464543995,0.7391352746943153,0.7344822219139606,0.7413530337029495,0.7382305964204021,0.0037020554656789434
0.5832047462463379,0.0946267049870984,0.04794158935546875,0.010037317438100121,balanced,10,sqrt,14,204,"{'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 14, 'model__n_estimators': 204}",0.6981827120473513,0.6318093070514136,0.6671668430350051,0.6814606482404927,0.6620426326494953,0.6681324286047516,0.022081884445340542,1,0.7418167565394574,0.7519361217173505,0.7484057616997003,0.7441149983253605,0.7484552851545203,0.7469457846872778,0.003567460423860992
0.7910312175750732,0.04809778990263735,0.05141901969909668,0.005073442823275934,balanced_subsample,10,sqrt,15,214,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 15, 'model__n_estimators': 214}",0.6979767624015912,0.6305175707891892,0.6627665032228768,0.6786458134531357,0.6667496382190032,0.6673312576171592,0.02210696242784321,3,0.7339953462550757,0.7487042457162172,0.7418647122982476,0.7377006959921604,0.7441207415228507,0.7412771483569103,0.005087409596853285
3.3331032276153563,0.028512786614438432,0.1129065990447998,0.011989630975939318,balanced_subsample,6,0.5,13,774,"{'model__class_weight': 'balanced_subsample', 'model__max_depth': 6, 'model__max_features': 0.5, 'model__min_samples_leaf': 13, 'model__n_estimators': 774}",0.6945142310272223,0.6279167581845653,0.6566489533617648,0.6736680122314717,0.6579846898055203,0.6621465289221089,0.021907232430556565,23,0.7121247025915576,0.727084957191318,0.7213518645473083,0.7133724785948863,0.7226949537202936,0.7193257913290727,0.00570891398251008
2.8066123962402343,0.24542938230826633,0.110626220703125,0.01792070369347662,,,0.5,32,684,"{'model__class_weight': None, 'model__max_depth': None, 'model__max_features': 0.5, 'model__min_samples_leaf': 32, 'model__n_estimators': 684}",0.6934652354461857,0.6325791486423464,0.6543417898320583,0.6752255207398599,0.6600534533386406,0.6631330295998182,0.020428315552900596,21,0.7174226081459089,0.7286363511098968,0.7231979452699615,0.7184041925056727,0.7275932604107928,0.7230508714884465,0.0045852259321129294
0.7222432613372802,0.10699749568756185,0.07666053771972656,0.022031901029474093,,24,0.3,29,235,"{'model__class_weight': None, 'model__max_depth': 24, 'model__max_features': 0.3, 'model__min_samples_leaf': 29, 'model__n_estimators': 235}",0.6952812825535724,0.6293857963503879,0.657783226913509,0.6765097864967569,0.6614788586706755,0.6640877901969804,0.021808816457137722,15,0.714392150563282,0.7257588820361248,0.7211462765111135,0.7166956618497308,0.725159030185922,0.7206304002292346,0.00450497210371638
1.5399440288543702,0.10692663052265389,0.10339479446411133,0.020231538446627544,balanced,10,0.3,22,777,"{'model__class_weight': 'balanced', 'model__max_depth': 10, 'model__max_features': 0.3, 'model__min_samples_leaf': 22, 'model__n_estimators': 777}",0.6958985339669869,0.6313615244674534,0.6610614668699865,0.6788463515393345,0.6647361642596398,0.6663808082206801,0.021373050246589614,8,0.7363028521694959,0.7462682585184236,0.7421698990083546,0.7379579570785048,0.7446363239986771,0.7414670581546912,0.003809791858056239
